source,target,value,count
11hCczrqnGysr3M9sXRjMVgjagkP9opD8W14xUYjjJJhunt,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,13977648.291240757,1
14Vaks6esicg9ULNa1VceQuRWCWLMKVuvYrLoUnucFXpQL63,12di7xAeCyVXZQTywPRsPQTDBhKeJsGNzgyaJwooYk5YQvZJ,13740000.0,1
14XaFhbfV2hazdntW8kJtySyKhpjMnGHCfGc5s5GLyJHc6pp,16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,13672248.333793612,1
15qhQde3g7t8MyTqZ1pLtJzyw4zxM87myKkvjgKv5VYQWrPW,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,13625512.387516297,1
15zFju56Eb1frUBfB6KJg6NN7dst61mZAAjywZyrHZCuoqoh,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,13092019.304515498,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,16QzZydJqbXiqzs7wW3pNdReMcWPb6ps7yj71g8VTrhHgJFt,13043464.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc,13000000.0,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,12343999.4,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,15DajYeqgb4ADkb8scVCcNaXjfM1SV9PLvqjNDkpH6kBDRLZ,11955985.977224588,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,1F1ntmAYdB5CV24n1QyND5ugmNwfdq4hzbQYjXg23QUhigS,11878654.95,1
14Vaks6esicg9ULNa1VceQuRWCWLMKVuvYrLoUnucFXpQL63,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,11838695.395838013,1
AGG_Small_Holders_<100,12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz,11325788.58392021,4794
AGG_Reaped_Accounts,15QFBQY6TF6Abr6vA1r6opRh6RbRSMWgBC1PcCMDDzRSEXf5,11312818.137022186,6
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,11219514.340656795,1
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,AGG_Binance_Users,10812823.23,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,11tRHu5t8wPr4htgNbMf56R8CSkDj1ycAHEzKgtxvLfYdmR,10768464.825177664,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,14Qhte1BxSFLCm7KyGivNtRNCoBbqmWv6g22weqHqr7zxH9Y,10611415.749999994,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,10599131.942386996,1
12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx,10271378.686791442,1
13yk62yQYctYsRPXDFvC5WzBtanAsHDasenooLAxKvf5bNkK,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,10200000.0,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,14qtDMNNJiENyn2K8cprEZRtBQ7RDW25LjCzHuFUwivtrpRv,10137087.12614498,1
14xcKGSofqs6AZjiCfqGMLDhszGK4prSU392TuLgJjGXVSdT,16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,10035509.955419462,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,1urK7po3hNyt9FWSbUrMspUGkWw69ChF1KDkcs4Do3F3HoV,10005961.0,1
12ByC23YDTxxepAgxA5K38N9wxGkQDeUZAj3fz7MSYqTS4Wx,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,10004463.15355652,1
12imiRFgMGpPPVRiXLhQixuk1jMeTrQbzSJcZ4Bj7a3idmWT,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,10000000.0,1
16QzZydJqbXiqzs7wW3pNdReMcWPb6ps7yj71g8VTrhHgJFt,AGG_Small_Holders_<100,9987622.435609922,1
16AwJVYBGyQXDfXdDuEReeY72eXzmjuJJ7kjsUuqajky8Zn7,12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz,9922709.965457862,1
12DibHYNENTas7FvHAwHMGQKbTjhiBzh5iqn9DFBHK9rCS2i,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,9911757.65602548,1
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9900000.0,1
14mr97Z7TR26zrEqH4yS2PuUx3xEKjMRzrM2FvBpbU78xoq4,145UYrCgKd6u7h8NsSM5Cde3sx26hkPczLLTbuRa5XAqh3bX,9828709.117131514,1
15GADXLmZpfCDgVcPuLGCwLAWw3hV9UpwPHw9BJuZEkQREqB,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,9675944.06,1
13fy3Cniu6kCa37g9LjRqjZ99U6eEoqjH5NAZ9WXoiEhZEP,AGG_Reaped_Accounts,9649924.0,4
12upJkXkDrvbEhAhGK9i5zG5Bj7P7EMcTaMQbWgFwL26VpFL,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,9552963.736368269,1
1exaAg2VJRQbyUBAeXcktChCAqjVP9TUxF3zo23R2T6EGdE,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,9507238.050662,1
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,9500017.051425118,1
12dEdeJGuUxUCVMNFaBfiGRAzcXVp1UiqPiN228qabmvMh3a,1dz7HBjHWYegSw8YhAzDBszQPv62n96xtR3B7sFhYTe9HY9,9491765.029193997,1
11uxhjMSBpFKisDMg36WPVZrqELeGVteeq1eoQKhqHbXVta,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,9461786.328612939,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,13b6hRRYPHTxFzs9prvL2YGHQepvd4YhdDb9Tc7khySp3hMN,9208924.030579984,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,13fy3Cniu6kCa37g9LjRqjZ99U6eEoqjH5NAZ9WXoiEhZEP,9122182.76,1
13b6hRRYPHTxFzs9prvL2YGHQepvd4YhdDb9Tc7khySp3hMN,15VetDHzhraSyHR9QnHaa9P8CU4U4bycHkdcD2HUr1ChstzP,9102200.49316931,1
